[ 2025-12-16 04:00:49 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-16 04:00:49 | node_23 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_24 | INFO ] InMemoryServer started at node_24
[ 2025-12-16 04:00:49 | node_24 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_25 | INFO ] InMemoryServer started at node_25
[ 2025-12-16 04:00:49 | node_25 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_26 | INFO ] InMemoryServer started at node_26
[ 2025-12-16 04:00:49 | node_26 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_27 | INFO ] InMemoryServer started at node_27
[ 2025-12-16 04:00:49 | node_27 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_28 | INFO ] InMemoryServer started at node_28
[ 2025-12-16 04:00:49 | node_28 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_29 | INFO ] InMemoryServer started at node_29
[ 2025-12-16 04:00:49 | node_29 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_30 | INFO ] InMemoryServer started at node_30
[ 2025-12-16 04:00:49 | node_30 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_31 | INFO ] InMemoryServer started at node_31
[ 2025-12-16 04:00:49 | node_31 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_32 | INFO ] InMemoryServer started at node_32
[ 2025-12-16 04:00:49 | node_32 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_33 | INFO ] InMemoryServer started at node_33
[ 2025-12-16 04:00:49 | node_33 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_34 | INFO ] InMemoryServer started at node_34
[ 2025-12-16 04:00:49 | node_34 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_35 | INFO ] InMemoryServer started at node_35
[ 2025-12-16 04:00:49 | node_35 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_36 | INFO ] InMemoryServer started at node_36
[ 2025-12-16 04:00:49 | node_36 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_37 | INFO ] InMemoryServer started at node_37
[ 2025-12-16 04:00:49 | node_37 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_38 | INFO ] InMemoryServer started at node_38
[ 2025-12-16 04:00:49 | node_38 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_39 | INFO ] InMemoryServer started at node_39
[ 2025-12-16 04:00:49 | node_39 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_40 | INFO ] InMemoryServer started at node_40
[ 2025-12-16 04:00:49 | node_40 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_41 | INFO ] InMemoryServer started at node_41
[ 2025-12-16 04:00:49 | node_41 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_42 | INFO ] InMemoryServer started at node_42
[ 2025-12-16 04:00:49 | node_42 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_43 | INFO ] InMemoryServer started at node_43
[ 2025-12-16 04:00:49 | node_43 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_44 | INFO ] InMemoryServer started at node_44
[ 2025-12-16 04:00:49 | node_44 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_45 | INFO ] InMemoryServer started at node_45
[ 2025-12-16 04:00:49 | node_45 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_46 | INFO ] InMemoryServer started at node_46
[ 2025-12-16 04:00:49 | node_46 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_47 | INFO ] InMemoryServer started at node_47
[ 2025-12-16 04:00:49 | node_47 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_48 | INFO ] InMemoryServer started at node_48
[ 2025-12-16 04:00:49 | node_48 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node_49 | INFO ] InMemoryServer started at node_49
[ 2025-12-16 04:00:49 | node_49 | INFO ] 🏁 Starting gossiper...
[ 2025-12-16 04:00:49 | node | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node | INFO ] InMemoryServer stopped at node
[ 2025-12-16 04:00:49 | node_1 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2025-12-16 04:00:49 | node_2 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_2 | INFO ] InMemoryServer stopped at node_2
[ 2025-12-16 04:00:49 | node_3 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_3 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_3 | INFO ] InMemoryServer stopped at node_3
[ 2025-12-16 04:00:49 | node_4 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_4 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_4 | INFO ] InMemoryServer stopped at node_4
[ 2025-12-16 04:00:49 | node_5 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_5 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_5 | INFO ] InMemoryServer stopped at node_5
[ 2025-12-16 04:00:49 | node_6 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_6 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_6 | INFO ] InMemoryServer stopped at node_6
[ 2025-12-16 04:00:49 | node_7 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_7 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_7 | INFO ] InMemoryServer stopped at node_7
[ 2025-12-16 04:00:49 | node_8 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_8 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_8 | INFO ] InMemoryServer stopped at node_8
[ 2025-12-16 04:00:49 | node_9 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_9 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_9 | INFO ] InMemoryServer stopped at node_9
[ 2025-12-16 04:00:49 | node_10 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_10 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_10 | INFO ] InMemoryServer stopped at node_10
[ 2025-12-16 04:00:49 | node_11 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_11 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_11 | INFO ] InMemoryServer stopped at node_11
[ 2025-12-16 04:00:49 | node_12 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_12 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_12 | INFO ] InMemoryServer stopped at node_12
[ 2025-12-16 04:00:49 | node_13 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_13 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_13 | INFO ] InMemoryServer stopped at node_13
[ 2025-12-16 04:00:49 | node_14 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_14 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_14 | INFO ] InMemoryServer stopped at node_14
[ 2025-12-16 04:00:49 | node_15 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_15 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_15 | INFO ] InMemoryServer stopped at node_15
[ 2025-12-16 04:00:49 | node_16 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_16 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_16 | INFO ] InMemoryServer stopped at node_16
[ 2025-12-16 04:00:49 | node_17 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_17 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_17 | INFO ] InMemoryServer stopped at node_17
[ 2025-12-16 04:00:49 | node_18 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_18 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_18 | INFO ] InMemoryServer stopped at node_18
[ 2025-12-16 04:00:49 | node_19 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_19 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_19 | INFO ] InMemoryServer stopped at node_19
[ 2025-12-16 04:00:49 | node_20 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_20 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_20 | INFO ] InMemoryServer stopped at node_20
[ 2025-12-16 04:00:49 | node_21 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_21 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_21 | INFO ] InMemoryServer stopped at node_21
[ 2025-12-16 04:00:49 | node_22 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_22 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_22 | INFO ] InMemoryServer stopped at node_22
[ 2025-12-16 04:00:49 | node_23 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_23 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_23 | INFO ] InMemoryServer stopped at node_23
[ 2025-12-16 04:00:49 | node_24 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_24 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_24 | INFO ] InMemoryServer stopped at node_24
[ 2025-12-16 04:00:49 | node_25 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_25 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_25 | INFO ] InMemoryServer stopped at node_25
[ 2025-12-16 04:00:49 | node_26 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_26 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_26 | INFO ] InMemoryServer stopped at node_26
[ 2025-12-16 04:00:49 | node_27 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_27 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:49 | node_27 | INFO ] InMemoryServer stopped at node_27
[ 2025-12-16 04:00:49 | node_28 | INFO ] Stopping node...
[ 2025-12-16 04:00:49 | node_28 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_28 | INFO ] InMemoryServer stopped at node_28
[ 2025-12-16 04:00:50 | node_29 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_29 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_29 | INFO ] InMemoryServer stopped at node_29
[ 2025-12-16 04:00:50 | node_30 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_30 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_30 | INFO ] InMemoryServer stopped at node_30
[ 2025-12-16 04:00:50 | node_31 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_31 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_31 | INFO ] InMemoryServer stopped at node_31
[ 2025-12-16 04:00:50 | node_32 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_32 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_32 | INFO ] InMemoryServer stopped at node_32
[ 2025-12-16 04:00:50 | node_33 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_33 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_33 | INFO ] InMemoryServer stopped at node_33
[ 2025-12-16 04:00:50 | node_34 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_34 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_34 | INFO ] InMemoryServer stopped at node_34
[ 2025-12-16 04:00:50 | node_35 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_35 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_35 | INFO ] InMemoryServer stopped at node_35
[ 2025-12-16 04:00:50 | node_36 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_36 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_36 | INFO ] InMemoryServer stopped at node_36
[ 2025-12-16 04:00:50 | node_37 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_37 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_37 | INFO ] InMemoryServer stopped at node_37
[ 2025-12-16 04:00:50 | node_38 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_38 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_38 | INFO ] InMemoryServer stopped at node_38
[ 2025-12-16 04:00:50 | node_39 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_39 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_39 | INFO ] InMemoryServer stopped at node_39
[ 2025-12-16 04:00:50 | node_40 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_40 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_40 | INFO ] InMemoryServer stopped at node_40
[ 2025-12-16 04:00:50 | node_41 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_41 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_41 | INFO ] InMemoryServer stopped at node_41
[ 2025-12-16 04:00:50 | node_42 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_42 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_42 | INFO ] InMemoryServer stopped at node_42
[ 2025-12-16 04:00:50 | node_43 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_43 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_43 | INFO ] InMemoryServer stopped at node_43
[ 2025-12-16 04:00:50 | node_44 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_44 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_44 | INFO ] InMemoryServer stopped at node_44
[ 2025-12-16 04:00:50 | node_45 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_45 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_45 | INFO ] InMemoryServer stopped at node_45
[ 2025-12-16 04:00:50 | node_46 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_46 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_46 | INFO ] InMemoryServer stopped at node_46
[ 2025-12-16 04:00:50 | node_47 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_47 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_47 | INFO ] InMemoryServer stopped at node_47
[ 2025-12-16 04:00:50 | node_48 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_48 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_48 | INFO ] InMemoryServer stopped at node_48
[ 2025-12-16 04:00:50 | node_49 | INFO ] Stopping node...
[ 2025-12-16 04:00:50 | node_49 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-16 04:00:50 | node_49 | INFO ] InMemoryServer stopped at node_49
