[ 2026-03-29 14:13:40 | node_27 | INFO ] 🧩 Model added for round 93 (7/11) from ['node_31']
[ 2026-03-29 14:13:48 | node_26 | INFO ] 🧩 Model added for round 93 (2/8) from ['node_28']
[ 2026-03-29 14:13:49 | node_32 | INFO ] 🧩 Model added for round 93 (6/8) from ['node_3']
[ 2026-03-29 14:13:49 | node_45 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:13:49 | node_45 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:13:49 | node_35 | INFO ] 🧩 Model added for round 93 (4/9) from ['node_28']
[ 2026-03-29 14:13:49 | node_45 | INFO ] ♻️ Proactively processing 6 early models for round 93.
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (1/9) from ['node_27']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (2/9) from ['node_14']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (3/9) from ['node_15']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (4/9) from ['node_7']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (5/9) from ['node_11']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (6/9) from ['node_31']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:13:50 | node_37 | INFO ] ♻️ Proactively processing 4 early models for round 93.
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🧩 Model added for round 93 (1/6) from ['node_16']
[ 2026-03-29 14:13:50 | node_45 | INFO ] ✅ [FORCE] Local model added for round 93. (7/9)
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🧩 Model added for round 93 (2/6) from ['node_12']
[ 2026-03-29 14:13:50 | node_45 | INFO ] 🧩 Model added for round 93 (8/9) from ['node_3']
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🧩 Model added for round 93 (3/6) from ['node_19']
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🧩 Model added for round 93 (4/6) from ['node_29']
[ 2026-03-29 14:13:50 | node_37 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:13:51 | node_47 | INFO ] 🧩 Model added for round 93 (4/7) from ['node_28']
[ 2026-03-29 14:13:51 | node_37 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:13:51 | node_37 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:13:51 | node_37 | INFO ] ✅ [FORCE] Local model added for round 93. (5/6)
[ 2026-03-29 14:13:51 | node_32 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_3', 'node_4', 'node_10', 'node_11', 'node_19', 'node_33', 'node_41']
[ 2026-03-29 14:13:51 | node_3 | INFO ] 🧩 Model added for round 93 (6/8) from ['node_32']
[ 2026-03-29 14:13:51 | node_46 | INFO ] 🧩 Model added for round 93 (5/11) from ['node_3']
[ 2026-03-29 14:13:53 | node_4 | INFO ] 🧩 Model added for round 93 (5/6) from ['node_32']
[ 2026-03-29 14:13:54 | node_11 | INFO ] 🧩 Model added for round 93 (4/10) from ['node_32']
[ 2026-03-29 14:13:55 | node_19 | INFO ] 🧩 Model added for round 93 (6/11) from ['node_32']
[ 2026-03-29 14:13:55 | node_40 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:13:55 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:13:55 | node_45 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_3', 'node_7', 'node_11', 'node_14', 'node_15', 'node_20', 'node_27', 'node_31']
[ 2026-03-29 14:13:56 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.19383320212364197, 'test_acc': 0.9700000286102295, 'test_precision': 0.9655883312225342, 'test_recall': 0.9694153070449829, 'test_f1': 0.9663673639297485, 'communication_cost': 41397356}
[ 2026-03-29 14:13:56 | node_40 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:13:56 | node_3 | INFO ] 🧩 Model added for round 93 (7/8) from ['node_45']
[ 2026-03-29 14:13:56 | node_37 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_12', 'node_16', 'node_19', 'node_21', 'node_29']
[ 2026-03-29 14:13:56 | node_12 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_37']
[ 2026-03-29 14:13:57 | node_7 | INFO ] 🧩 Model added for round 93 (8/11) from ['node_45']
[ 2026-03-29 14:13:57 | node_41 | INFO ] 🧩 Model added for round 93 (2/3) from ['node_32']
[ 2026-03-29 14:13:57 | node_16 | INFO ] 🧩 Model added for round 93 (2/8) from ['node_37']
[ 2026-03-29 14:13:58 | node_11 | INFO ] 🧩 Model added for round 93 (5/10) from ['node_45']
[ 2026-03-29 14:13:58 | node_19 | INFO ] 🧩 Model added for round 93 (7/11) from ['node_37']
[ 2026-03-29 14:13:59 | node_14 | INFO ] 🧩 Model added for round 93 (6/7) from ['node_45']
[ 2026-03-29 14:14:00 | node_29 | INFO ] 🧩 Model added for round 93 (7/10) from ['node_37']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:00 | node_15 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_45']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:00 | node_40 | INFO ] ♻️ Proactively processing 8 early models for round 93.
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (1/12) from ['node_41']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (2/12) from ['node_1']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (3/12) from ['node_5']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (4/12) from ['node']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (5/12) from ['node_9']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (6/12) from ['node_19']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (7/12) from ['node_18']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🧩 Model added for round 93 (8/12) from ['node_25']
[ 2026-03-29 14:14:00 | node_40 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:01 | node_40 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:01 | node_40 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:01 | node_40 | INFO ] ✅ [FORCE] Local model added for round 93. (9/12)
[ 2026-03-29 14:14:01 | node_27 | INFO ] 🧩 Model added for round 93 (9/11) from ['node_45']
[ 2026-03-29 14:14:01 | node_17 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:02 | node_17 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:02 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3798602819442749, 'test_acc': 0.9700000286102295, 'test_precision': 0.9717965126037598, 'test_recall': 0.9709616303443909, 'test_f1': 0.9704135656356812, 'communication_cost': 30107168}
[ 2026-03-29 14:14:02 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:03 | node_31 | INFO ] 🧩 Model added for round 93 (7/9) from ['node_45']
[ 2026-03-29 14:14:05 | node_30 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:05 | node_30 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:05 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.39892658591270447, 'test_acc': 0.9850000143051147, 'test_precision': 0.9838875532150269, 'test_recall': 0.9805430769920349, 'test_f1': 0.981834888458252, 'communication_cost': 30107168}
[ 2026-03-29 14:14:05 | node_17 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:05 | node_30 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:05 | node_17 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:05 | node_17 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-03-29 14:14:05 | node_17 | INFO ] 🧩 Model added for round 93 (1/9) from ['node_1']
[ 2026-03-29 14:14:05 | node_17 | INFO ] 🧩 Model added for round 93 (2/9) from ['node']
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🧩 Model added for round 93 (3/9) from ['node_5']
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🧩 Model added for round 93 (4/9) from ['node_26']
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🧩 Model added for round 93 (5/9) from ['node_47']
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:06 | node_40 | INFO ] 📤 Sending model to 11 direct neighbors: ['node', 'node_1', 'node_5', 'node_9', 'node_10', 'node_18', 'node_19', 'node_25', 'node_39', 'node_41', 'node_49']
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:06 | node_17 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:06 | node_17 | INFO ] ✅ [FORCE] Local model added for round 93. (6/9)
[ 2026-03-29 14:14:06 | node | INFO ] 🧩 Model added for round 93 (6/9) from ['node_40']
[ 2026-03-29 14:14:07 | node_1 | INFO ] 🧩 Model added for round 93 (4/7) from ['node_40']
[ 2026-03-29 14:14:07 | node_10 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:08 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:08 | node_10 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.046924278140068054, 'test_acc': 0.9950000047683716, 'test_precision': 0.9944446086883545, 'test_recall': 0.9933334589004517, 'test_f1': 0.9936946630477905, 'communication_cost': 26343772}
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:08 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:08 | node_5 | INFO ] 🧩 Model added for round 93 (2/7) from ['node_40']
[ 2026-03-29 14:14:08 | node_30 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🧩 Model added for round 93 (1/9) from ['node_26']
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🧩 Model added for round 93 (2/9) from ['node_19']
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🧩 Model added for round 93 (3/9) from ['node_18']
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🧩 Model added for round 93 (4/9) from ['node_8']
[ 2026-03-29 14:14:08 | node_30 | INFO ] 🧩 Model added for round 93 (5/9) from ['node_46']
[ 2026-03-29 14:14:09 | node_30 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:09 | node_30 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:09 | node_9 | INFO ] 🧩 Model added for round 93 (7/9) from ['node_40']
[ 2026-03-29 14:14:09 | node_30 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:09 | node_30 | INFO ] ✅ [FORCE] Local model added for round 93. (6/9)
[ 2026-03-29 14:14:10 | node_18 | INFO ] 🧩 Model added for round 93 (4/6) from ['node_40']
[ 2026-03-29 14:14:10 | node_20 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:11 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:11 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13191354274749756, 'test_acc': 0.9800000190734863, 'test_precision': 0.9777622818946838, 'test_recall': 0.9824445247650146, 'test_f1': 0.9793466329574585, 'communication_cost': 48924148}
[ 2026-03-29 14:14:11 | node_10 | INFO ] ♻️ Proactively processing 7 early models for round 93.
[ 2026-03-29 14:14:11 | node_19 | INFO ] 🧩 Model added for round 93 (8/11) from ['node_40']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (1/8) from ['node']
[ 2026-03-29 14:14:11 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (2/8) from ['node_36']
[ 2026-03-29 14:14:11 | node_17 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_1', 'node_5', 'node_6', 'node_13', 'node_20', 'node_26', 'node_47']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (3/8) from ['node_35']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (4/8) from ['node_19']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_43']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (6/8) from ['node_32']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🧩 Model added for round 93 (7/8) from ['node_40']
[ 2026-03-29 14:14:11 | node | INFO ] 🧩 Model added for round 93 (7/9) from ['node_17']
[ 2026-03-29 14:14:11 | node_10 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:12 | node_10 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:12 | node_10 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:12 | node_10 | INFO ] ✅ [FORCE] Local model added for round 93. (8/8)
[ 2026-03-29 14:14:12 | node_25 | INFO ] 🧩 Model added for round 93 (3/6) from ['node_40']
[ 2026-03-29 14:14:12 | node_1 | INFO ] 🧩 Model added for round 93 (5/7) from ['node_17']
[ 2026-03-29 14:14:13 | node_5 | INFO ] 🧩 Model added for round 93 (3/7) from ['node_17']
[ 2026-03-29 14:14:13 | node_23 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:13 | node_41 | INFO ] 🧩 Model added for round 93 (3/3) from ['node_40']
[ 2026-03-29 14:14:14 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:14 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 14:14:14 | node_30 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_8', 'node_18', 'node_19', 'node_20', 'node_26', 'node_44', 'node_46', 'node_49']
[ 2026-03-29 14:14:14 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5284700989723206, 'test_acc': 0.9649999737739563, 'test_precision': 0.9646127223968506, 'test_recall': 0.9664743542671204, 'test_f1': 0.9649150967597961, 'communication_cost': 26343772}
[ 2026-03-29 14:14:14 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:14 | node_41 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 14:14:14 | node_8 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_30']
[ 2026-03-29 14:14:15 | node_18 | INFO ] 🧩 Model added for round 93 (5/6) from ['node_30']
[ 2026-03-29 14:14:16 | node_26 | INFO ] 🧩 Model added for round 93 (3/8) from ['node_17']
[ 2026-03-29 14:14:16 | node_19 | INFO ] 🧩 Model added for round 93 (9/11) from ['node_30']
[ 2026-03-29 14:14:16 | node_47 | INFO ] 🧩 Model added for round 93 (5/7) from ['node_17']
[ 2026-03-29 14:14:16 | node_20 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:16 | node_20 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:17 | node_33 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:17 | node_21 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:14:17 | node_20 | INFO ] ♻️ Proactively processing 9 early models for round 93.
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (1/14) from ['node_27']
[ 2026-03-29 14:14:17 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:17 | node_21 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (2/14) from ['node_36']
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (3/14) from ['node_47']
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (4/14) from ['node_2']
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (5/14) from ['node_15']
[ 2026-03-29 14:14:17 | node_10 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_19', 'node_32', 'node_35', 'node_36', 'node_40', 'node_43']
[ 2026-03-29 14:14:17 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3470613956451416, 'test_acc': 0.9800000190734863, 'test_precision': 0.9853619337081909, 'test_recall': 0.9756892323493958, 'test_f1': 0.9795452952384949, 'communication_cost': 45160752}
[ 2026-03-29 14:14:17 | node_21 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0005852531758137047, 'test_acc': 1.0, 'test_precision': 1.0000001192092896, 'test_recall': 1.0000001192092896, 'test_f1': 1.0000001192092896, 'communication_cost': 33870564}
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (6/14) from ['node_11']
[ 2026-03-29 14:14:17 | node_23 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (7/14) from ['node_8']
[ 2026-03-29 14:14:17 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (8/14) from ['node_45']
[ 2026-03-29 14:14:17 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:14:17 | node_23 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🧩 Model added for round 93 (9/14) from ['node_17']
[ 2026-03-29 14:14:17 | node_20 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:17 | node | INFO ] 🧩 Model added for round 93 (8/9) from ['node_10']
[ 2026-03-29 14:14:17 | node_23 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-03-29 14:14:17 | node_23 | INFO ] 🧩 Model added for round 93 (1/8) from ['node_26']
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🧩 Model added for round 93 (2/8) from ['node_16']
[ 2026-03-29 14:14:18 | node_20 | INFO ] 🧩 Model added for round 93 (10/14) from ['node_30']
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🧩 Model added for round 93 (3/8) from ['node_9']
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🧩 Model added for round 93 (4/8) from ['node_35']
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_29']
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:18 | node_20 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:18 | node_20 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:18 | node_20 | INFO ] ✅ [FORCE] Local model added for round 93. (11/14)
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:18 | node_23 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:18 | node_23 | INFO ] ✅ [FORCE] Local model added for round 93. (6/8)
[ 2026-03-29 14:14:18 | node_19 | INFO ] 🧩 Model added for round 93 (10/11) from ['node_10']
[ 2026-03-29 14:14:19 | node_26 | INFO ] 🧩 Model added for round 93 (4/8) from ['node_30']
[ 2026-03-29 14:14:20 | node_32 | INFO ] 🧩 Model added for round 93 (7/8) from ['node_10']
[ 2026-03-29 14:14:20 | node_46 | INFO ] 🧩 Model added for round 93 (6/11) from ['node_30']
[ 2026-03-29 14:14:21 | node_35 | INFO ] 🧩 Model added for round 93 (5/9) from ['node_10']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:21 | node_21 | INFO ] ♻️ Proactively processing 8 early models for round 93.
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (1/10) from ['node']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (2/10) from ['node_26']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (3/10) from ['node_16']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (4/10) from ['node_19']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (5/10) from ['node_25']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (6/10) from ['node_29']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (7/10) from ['node_46']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🧩 Model added for round 93 (8/10) from ['node_37']
[ 2026-03-29 14:14:21 | node_21 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:14:21 | node_36 | INFO ] 🧩 Model added for round 93 (6/9) from ['node_10']
[ 2026-03-29 14:14:22 | node_21 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:14:22 | node_21 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:14:22 | node_21 | INFO ] ✅ [FORCE] Local model added for round 93. (9/10)
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:14:22 | node_33 | INFO ] ♻️ Proactively processing 9 early models for round 93.
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🧩 Model added for round 93 (1/13) from ['node_36']
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🧩 Model added for round 93 (2/13) from ['node_16']
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🧩 Model added for round 93 (3/13) from ['node_4']
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🧩 Model added for round 93 (4/13) from ['node_22']
[ 2026-03-29 14:14:22 | node_33 | INFO ] 🧩 Model added for round 93 (5/13) from ['node_11']
